Global time spent: 6.19515
I(P) = 2904
Clustering configuration: 
 Partition 0 (82): [ 3 5 6 9 11 16 17 21 24 25 26 33 35 38 40 41 43 45 46 47 48 54 56 57 60 61 63 67 73 82 86 87 89 90 91 93 95 96 97 102 104 107 110 111 116 119 120 121 126 127 129 130 131 137 139 144 145 146 148 149 151 154 155 157 158 161 163 164 165 168 171 172 173 178 180 181 183 186 188 189 194 196 ] 
 Partition 1 (61): [ 2 7 12 13 14 22 28 32 34 44 49 51 53 55 65 69 70 71 75 79 80 83 85 88 98 99 100 101 103 105 106 108 109 114 115 118 122 123 125 128 132 133 134 138 140 143 147 153 159 160 162 166 169 170 175 177 179 182 190 191 197 ] 
 Partition 2 (30): [ 1 4 15 20 27 31 37 39 50 59 62 64 68 74 78 81 92 112 113 117 136 141 142 150 152 156 174 187 192 193 ] 
 Partition 3 (22): [ 0 8 10 18 29 30 36 42 52 66 72 76 77 84 124 135 167 176 184 185 195 198 ] 
 Partition 4 (5): [ 19 23 58 94 199 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
59,10,1
60,7,4
61,6,4
62,16,2
63,13,5
64,17,3
65,8,5
66,16,0
67,9,4
68,16,4
69,17,3
70,8,4
71,8,3
72,17,1
73,9,6
74,13,0
75,15,1
76,16,0
77,9,1
78,14,1
79,9,2
80,16,2
81,21,1
82,11,2
83,9,5
84,15,1
85,4,5
86,7,4
87,5,6
88,12,4
89,13,6
90,12,6
91,10,7
92,14,0
93,8,3
94,15,0
95,10,3
96,15,7
97,8,5
98,7,6
99,9,3
100,13,2
101,12,1
102,6,6
103,17,2
104,12,5
105,12,4
106,10,1
107,10,3
108,14,2
109,8,2
110,13,4
111,9,5
112,15,3
113,10,2
114,10,4
115,15,1
116,11,6
117,8,1
118,12,6
119,8,4
120,13,2
121,12,4
122,13,2
123,12,3
124,9,3
125,11,4
126,10,1
127,9,4
128,11,3
129,8,5
130,7,5
131,10,8
132,6,4
133,12,2
134,7,4
135,16,1
136,8,2
137,13,4
138,14,4
139,9,7
140,15,2
141,13,2
142,15,1
143,9,2
144,12,4
145,9,4
146,5,4
147,16,3
148,10,4
149,10,7
150,15,2
151,9,6
152,12,1
153,16,3
154,7,4
155,13,3
156,10,1
157,7,4
158,12,5
159,10,6
160,5,4
161,5,4
162,9,0
163,5,4
164,13,6
165,10,7
166,12,3
167,18,0
168,12,7
169,12,7
170,12,1
171,7,7
172,10,5
173,7,6
174,14,1
175,7,5
176,16,0
177,13,5
178,12,5
179,7,4
180,11,3
181,9,5
182,14,6
183,6,4
184,13,3
185,13,0
186,10,5
187,15,3
188,10,2
189,6,4
190,14,2
191,12,3
192,13,3
193,17,2
194,5,3
195,11,1
196,15,1
197,14,1
198,14,1
199,17,0

Cluster contribution to imbalance analysis (cluster-cluster matrix):
362, 417, 197, 151, 26, 
417, 182, 158, 108, 25, 
197, 158, 50, 52, 7, 
151, 108, 52, 16, 6, 
26, 25, 7, 6, 0, 

